10000
4.518589999999988e+01 1.701030000000043e+14 1.000000000000000e+00 2.722042180076391e+25 
4.236286004030157e+08 1.214274717911635e+26 9.842884749863628e+17 2.549999172396409e+32 
2.920509498399004e+09 1.572524979496246e+27 2.012163573555198e+18 1.756460214054224e+33 
9.908327035669701e+09 7.624842096707882e+27 3.034716117305081e+18 5.953844578752757e+33 
2.463558379300355e+10 2.439787537056901e+28 4.052769104239627e+18 1.479022114340623e+34 
5.170856138911061e+10 6.210472459539167e+28 5.072979361436116e+18 3.101579841818465e+34 
9.728833875027034e+10 1.361983598040966e+29 6.091595404727441e+18 5.830221402491861e+34 
1.701574429391745e+11 2.698262497194744e+29 7.109975740444167e+18 1.018761998767602e+35 
2.820653927770150e+11 4.954488955279992e+29 8.123477573501172e+18 1.687190817242318e+35 
4.510390971345303e+11 8.623907578495190e+29 9.139127961948159e+18 2.695335243302380e+35 
7.160649549446699e+11 1.440697160978858e+30 1.015796390483360e+19 4.274712275532776e+35 
1.856027812879091e+12 2.627741214846304e+30 1.118788593298653e+19 1.105996428356426e+36 
4.303025164017493e+12 5.628913156681781e+30 1.219767831150456e+19 2.560962553326425e+36 
8.236918189231233e+12 1.184367820909782e+31 1.320773689342995e+19 4.897434210068875e+36 
1.407326454875489e+13 2.293279750786380e+31 1.421636981982830e+19 8.359951650475671e+36 
2.249466116087202e+13 4.114687456444209e+31 1.522446206143135e+19 1.335049986619250e+37 
3.453005254812715e+13 6.956633615208586e+31 1.623134530015094e+19 2.047473050841494e+37 
5.135439360134944e+13 1.123673241625258e+32 1.723585605000252e+19 3.042263019134512e+37 
7.346996472341131e+13 1.747410972450820e+32 1.823910215321149e+19 4.348464481967962e+37 
9.906075650924141e+13 2.617885728124246e+32 1.924706657725592e+19 5.858251672062756e+37 
1.241637148090315e+14 3.738761780253343e+32 2.024703879157950e+19 7.337622340657953e+37 
1.468965324877249e+14 5.100342889668802e+32 2.124634674964834e+19 8.675834001498996e+37 
2.544387573778894e+14 2.384495918665802e+33 3.019200622437902e+19 1.497582546473307e+38 
